GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GrievanceManagement,com.grievance.filter,SecurityFilter,132,0,18,0,47,0,13,0,4,0
GrievanceManagement,com.grievance.filter,FilterConfiguration,62,0,0,0,19,0,3,0,3,0
GrievanceManagement,com.grievance,GrievanceManagementApplication,5,7,0,0,2,2,1,2,1,2
GrievanceManagement,com.grievance.service,TicketService,175,255,23,13,39,62,18,10,2,8
GrievanceManagement,com.grievance.service,EmployeeService,28,237,2,10,8,57,2,16,0,12
GrievanceManagement,com.grievance.service,DepartmentService,0,139,0,4,0,33,0,10,0,8
GrievanceManagement,com.grievance.entity,TicketType,0,24,0,0,0,3,0,1,0,1
GrievanceManagement,com.grievance.entity,Employee,0,128,0,0,0,39,0,19,0,19
GrievanceManagement,com.grievance.entity,Ticket,0,73,0,0,0,32,0,21,0,21
GrievanceManagement,com.grievance.entity,TicketStatus,0,34,0,0,0,4,0,1,0,1
GrievanceManagement,com.grievance.entity,Department,0,46,0,0,0,20,0,10,0,10
GrievanceManagement,com.grievance.entity,Comment,0,56,0,0,0,24,0,12,0,12
GrievanceManagement,com.grievance.entity,Role,0,24,0,0,0,3,0,1,0,1
GrievanceManagement,com.grievance.controller,TicketController,0,43,0,0,0,11,0,5,0,5
GrievanceManagement,com.grievance.controller,DepartmentController,0,40,0,2,0,12,0,5,0,4
GrievanceManagement,com.grievance.controller,EmployeeController,0,82,0,4,0,20,0,9,0,7
GrievanceManagement,com.grievance.dto,UpdateTicketInDto,0,24,0,0,0,10,0,7,0,7
GrievanceManagement,com.grievance.dto,CommentsDto,0,38,0,0,0,16,0,11,0,11
GrievanceManagement,com.grievance.dto,TicketOutDto,0,143,0,0,0,59,0,26,0,26
GrievanceManagement,com.grievance.dto,DepartmentOutDto,0,72,0,0,0,30,0,11,0,11
GrievanceManagement,com.grievance.dto,EmployeesInDto,0,99,0,0,0,38,0,13,0,13
GrievanceManagement,com.grievance.dto,EmployeeOutDto,0,124,0,0,0,51,0,19,0,19
GrievanceManagement,com.grievance.dto,TicketInDto,0,103,0,0,0,29,0,15,0,15
GrievanceManagement,com.grievance.dto,ChangePasswordDto,0,36,0,0,0,16,0,8,0,8
GrievanceManagement,com.grievance.dto,TicketOutDtoWithComments,0,129,0,0,0,53,0,22,0,22
GrievanceManagement,com.grievance.dto,UserLogin,0,43,0,0,0,13,0,7,0,7
GrievanceManagement,com.grievance.dto,DepartmentInDto,0,28,0,0,0,9,0,5,0,5
GrievanceManagement,com.grievance.exception,ResourceNotFound,0,23,0,0,0,10,0,5,0,5
GrievanceManagement,com.grievance.exception,ExceptionHandling,56,0,0,0,16,0,5,0,5,0
GrievanceManagement,com.grievance.exception,ApiResponse,0,17,0,0,0,7,0,5,0,5
